timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
2021_11_18_08:12:05.245,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.79 ,0.67 ,18.24 ,23.45 ,34.11
2021_11_18_08:12:05.351,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.67 ,0.73 ,19.32 ,23.14 ,35.41
2021_11_18_08:12:05.426,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.55 ,19.34 ,23.34 ,35.62
2021_11_18_08:12:05.486,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.49 ,19.08 ,22.88 ,35.10
2021_11_18_08:12:05.576,-0.03 ,-0.23 ,-0.98 ,-0.92 ,-0.85 ,0.37 ,18.64 ,23.51 ,35.39
2021_11_18_08:12:05.636,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.73 ,0.61 ,18.74 ,22.69 ,35.11
2021_11_18_08:12:05.695,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.79 ,0.61 ,19.10 ,23.40 ,34.45
2021_11_18_08:12:05.785,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.67 ,0.79 ,19.18 ,23.03 ,34.63
2021_11_18_08:12:05.846,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.67 ,0.61 ,18.92 ,23.19 ,35.63
2021_11_18_08:12:05.921,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.73 ,0.61 ,19.19 ,23.33 ,34.70
2021_11_18_08:12:05.981,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.61 ,0.55 ,19.12 ,23.27 ,34.86
2021_11_18_08:12:06.087,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.73 ,0.49 ,19.21 ,23.58 ,35.45
2021_11_18_08:12:06.161,-0.04 ,-0.23 ,-0.98 ,-0.92 ,-0.85 ,0.61 ,18.79 ,23.71 ,34.50
2021_11_18_08:12:06.221,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-1.04 ,0.61 ,19.32 ,23.77 ,34.50
2021_11_18_08:12:06.296,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.98 ,0.67 ,18.99 ,23.60 ,35.34
2021_11_18_08:12:06.356,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-1.04 ,0.55 ,19.15 ,23.06 ,35.01
2021_11_18_08:12:06.446,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.85 ,0.55 ,19.04 ,22.85 ,35.05
2021_11_18_08:12:06.506,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.79 ,0.61 ,18.79 ,23.25 ,35.01
2021_11_18_08:12:06.581,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.85 ,0.43 ,18.97 ,22.88 ,35.08
2021_11_18_08:12:06.641,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.67 ,19.23 ,23.33 ,35.31
2021_11_18_08:12:06.716,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.85 ,0.43 ,19.08 ,23.56 ,35.53
2021_11_18_08:12:06.791,-0.04 ,-0.23 ,-0.98 ,-0.98 ,-0.79 ,0.55 ,19.17 ,23.32 ,34.50
2021_11_18_08:12:06.866,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.79 ,0.61 ,19.38 ,22.97 ,34.96
