timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
1638174362301,-0.12 ,-0.81 ,0.42 ,-15.01 ,10.93 ,18.49 ,-35.90 ,53.00 ,-25.92
1638174362332,0.47 ,-1.04 ,0.32 ,-22.40 ,35.77 ,90.82 ,-34.50 ,53.74 ,-28.09
1638174362364,0.47 ,-1.04 ,0.32 ,-22.40 ,35.77 ,90.82 ,-34.50 ,53.74 ,-28.09
1638174362407,0.67 ,-0.69 ,0.24 ,-43.64 ,2.87 ,45.29 ,-30.58 ,54.50 ,-29.44
1638174362452,0.41 ,-0.67 ,0.38 ,-37.90 ,-61.22 ,53.34 ,-28.91 ,53.66 ,-30.85
1638174362498,1.29 ,0.17 ,0.08 ,-82.28 ,-52.43 ,-51.88 ,-28.53 ,52.27 ,-33.31
1638174362527,-0.02 ,-0.62 ,1.48 ,-22.77 ,-63.23 ,-176.57 ,-28.53 ,52.27 ,-33.31
1638174362573,-0.08 ,-1.67 ,1.23 ,-10.13 ,144.47 ,-20.32 ,-32.21 ,50.39 ,-28.58
1638174362603,-0.41 ,-0.64 ,0.46 ,27.28 ,151.00 ,125.67 ,-31.47 ,50.89 ,-30.57
1638174362663,0.33 ,-0.52 ,0.89 ,192.99 ,-203.19 ,119.57 ,-27.45 ,52.42 ,-32.02
1638174362693,1.04 ,-0.24 ,-0.48 ,1.83 ,126.71 ,115.54 ,-26.01 ,55.29 ,-30.42
1638174362737,1.04 ,-0.24 ,-0.48 ,1.83 ,126.71 ,115.54 ,-26.01 ,55.29 ,-30.42
1638174362767,0.30 ,-0.52 ,1.00 ,-207.64 ,67.26 ,-157.71 ,-23.63 ,51.34 ,-31.87
1638174362798,0.30 ,-0.52 ,1.00 ,-207.64 ,67.26 ,-157.71 ,-23.63 ,51.34 ,-31.87
1638174362842,-0.02 ,-1.35 ,1.04 ,-69.58 ,-41.26 ,-20.75 ,-25.95 ,49.34 ,-33.11
1638174362872,-0.28 ,-0.59 ,1.34 ,80.38 ,-11.41 ,30.21 ,-25.95 ,49.34 ,-33.11
1638174362917,0.60 ,-1.00 ,1.32 ,205.63 ,-148.19 ,83.74 ,-24.62 ,50.40 ,-33.76
1638174362963,0.82 ,-0.04 ,0.61 ,289.79 ,-306.27 ,-20.69 ,-25.24 ,53.66 ,-34.16
1638174363007,0.72 ,-0.83 ,0.77 ,92.83 ,-95.58 ,-63.90 ,-29.41 ,55.73 ,-31.58
1638174363037,0.24 ,-1.06 ,0.50 ,16.60 ,59.45 ,-41.81 ,-34.34 ,56.53 ,-30.10
1638174363068,0.24 ,-1.06 ,0.50 ,16.60 ,59.45 ,-41.81 ,-34.34 ,56.53 ,-30.10
1638174363097,0.18 ,-1.02 ,0.74 ,20.75 ,151.61 ,65.43 ,-33.23 ,56.19 ,-27.99
1638174363143,0.08 ,-1.12 ,0.10 ,-46.33 ,179.57 ,159.55 ,-33.23 ,56.19 ,-27.99
1638174363188,0.46 ,-0.29 ,0.30 ,-22.40 ,64.39 ,196.53 ,-27.89 ,55.57 ,-30.87
1638174363217,0.45 ,2.78 ,-0.98 ,17.15 ,-79.71 ,-64.21 ,-22.94 ,54.87 ,-32.78
1638174363247,0.45 ,2.78 ,-0.98 ,17.15 ,-79.71 ,-64.21 ,-22.94 ,54.87 ,-32.78
1638174363292,0.13 ,-1.16 ,1.85 ,50.35 ,-118.53 ,-94.91 ,-27.12 ,55.63 ,-33.87
1638174363323,0.42 ,-1.61 ,0.59 ,23.99 ,129.21 ,171.81 ,-30.74 ,55.43 ,-32.70
1638174363367,0.38 ,-0.09 ,0.39 ,12.63 ,86.73 ,136.90 ,-25.46 ,54.87 ,-33.01
1638174363412,0.87 ,-0.78 ,0.45 ,18.01 ,10.50 ,-19.90 ,-25.46 ,54.87 ,-33.01
1638174363442,0.30 ,-1.50 ,1.31 ,-65.25 ,-111.69 ,-160.22 ,-30.21 ,55.85 ,-32.35
1638174363487,0.30 ,-1.50 ,1.31 ,-65.25 ,-111.69 ,-160.22 ,-30.21 ,55.85 ,-32.35
1638174363517,0.37 ,-0.34 ,0.56 ,29.05 ,144.96 ,145.69 ,-30.52 ,55.42 ,-33.81
1638174363578,0.37 ,-0.34 ,0.56 ,29.05 ,144.96 ,145.69 ,-30.52 ,55.42 ,-33.81
1638174363608,0.27 ,-0.92 ,0.58 ,-83.86 ,-38.21 ,-182.56 ,-29.30 ,55.94 ,-32.09
1638174363638,0.27 ,-0.92 ,0.58 ,-83.86 ,-38.21 ,-182.56 ,-29.30 ,55.94 ,-32.09
1638174363684,0.22 ,-1.46 ,0.84 ,-19.10 ,40.65 ,-10.31 ,-32.53 ,54.91 ,-33.80
1638174363715,0.58 ,1.03 ,-0.19 ,3.97 ,39.98 ,117.98 ,-27.64 ,54.97 ,-34.30
1638174363757,0.58 ,1.03 ,-0.19 ,3.97 ,39.98 ,117.98 ,-27.64 ,54.97 ,-34.30
